,n_fold,k,score_function,algorithm,accuracy,precision,recall,f-measure
2553,6,190,f_classif,SimpleLogistic,0.9687292082501663,0.9715639671476207,0.9610052738181679,0.9658846750276362
2554,6,190,f_classif,JRIP,0.8875582168995343,0.8785412167829671,0.9052967478121299,0.8838086298533148
2555,6,190,f_classif,SMO-PolyKernel,0.9747172322022621,0.9761775485272159,0.9692169526502847,0.9725199963048214
2556,6,190,f_classif,SMO-NormalizedPolyKernel,0.9760479041916168,0.9776348193682252,0.9706529216188329,0.9739663122887782
2557,6,190,f_classif,SMO-Puk,0.978709248170326,0.9828175131074419,0.9715806168074292,0.9767627926392319
2558,6,190,f_classif,SMO-RBFKernel,0.9760479041916168,0.9789530522655148,0.9694863759697329,0.9739018197533531
2559,6,190,f_classif,AdaBoostM1,0.9234863606121091,0.9192785973584614,0.9149042687354301,0.9170055444877074
2560,6,190,f_classif,RandomCommittee,0.9853626081170991,0.9861336363811468,0.9822600985974701,0.9841419198895027
2561,7,190,f_classif,NaiveBayes,0.7105788423153693,0.7645629507489949,0.7713102833097403,0.7104475893329671
2562,7,190,f_classif,KNN,0.9833666001330672,0.9836666523331679,0.979851267234191,0.9817127032834398
2563,7,190,f_classif,RandomForest,0.9893546240851631,0.9891788706796237,0.9874827900482848,0.9883216783216784
2564,7,190,f_classif,LogisticRegression,0.9773785761809713,0.9752263957028448,0.9752263957028448,0.9752263957028448
2565,7,190,f_classif,DecisionTree,0.9753825681969395,0.9724753873232626,0.9736847718590627,0.9730750664880419
2566,7,190,f_classif,SimpleLogistic,0.9620758483033932,0.9590144492487636,0.9578234986135081,0.9584140133479411
2567,7,190,f_classif,JRIP,0.8855622089155023,0.8736316962123414,0.9038821772770462,0.8805798333302537
2568,7,190,f_classif,SMO-PolyKernel,0.978709248170326,0.9766836665438539,0.9766836665438539,0.9766836665438539
2569,7,190,f_classif,SMO-NormalizedPolyKernel,0.9727212242182302,0.9703161208432477,0.9699111869534023,0.9701130961994264
2570,7,190,f_classif,SMO-Puk,0.9813705921490352,0.9830410783206713,0.9761620353313036,0.9794544623712609
2571,7,190,f_classif,SMO-RBFKernel,0.9713905522288756,0.9717316536299674,0.9654472648296457,0.9684620433379123
2572,7,190,f_classif,AdaBoostM1,0.9188290086493679,0.9108333397861286,0.9115360003102639,0.9111826044500244
2573,7,190,f_classif,RandomCommittee,0.9880239520958084,0.9872960372960373,0.9864550408190967,0.9868732605396258
2574,8,190,f_classif,NaiveBayes,0.7285429141716567,0.7766024377671993,0.7733616504854369,0.7285081816249912
2575,8,190,f_classif,KNN,0.978709248170326,0.9794201617836993,0.9755090345199569,0.9773904213910983
2576,8,190,f_classif,RandomForest,0.9866932801064537,0.9882980171771532,0.9836249325782094,0.9858593347207429
2577,8,190,f_classif,LogisticRegression,0.9687292082501663,0.96963403171523,0.9641316073354909,0.9667350259113716
2578,8,190,f_classif,DecisionTree,0.9800399201596807,0.9783025740650801,0.9795459142394822,0.9789161133451791
2579,8,190,f_classif,SimpleLogistic,0.9627411842980705,0.9660300251487456,0.9553330636461705,0.960153764581124
2580,8,190,f_classif,JRIP,0.8902195608782435,0.8833034511274444,0.9027862055016181,0.8874444983531619
2581,8,190,f_classif,SMO-PolyKernel,0.9727212242182302,0.9732049053323759,0.9690112594390508,0.9710215738159136
2582,8,190,f_classif,SMO-NormalizedPolyKernel,0.9687292082501663,0.9703557988368114,0.9634742448759439,0.9666885941644563
2583,8,190,f_classif,SMO-Puk,0.9760479041916168,0.9800113679424025,0.9697360436893204,0.9744030791239484
2584,8,190,f_classif,SMO-RBFKernel,0.9700598802395209,0.97178412589805,0.9648816747572816,0.9681061007957561
2585,8,190,f_classif,AdaBoostM1,0.9241516966067864,0.9226565680005174,0.9161610032362459,0.9191737268147253
2586,8,190,f_classif,RandomCommittee,0.9846972721224219,0.986350011921387,0.981349447141316,0.9837326410211886
2587,9,190,f_classif,NaiveBayes,0.729208250166334,0.7853052877592754,0.7702258984471557,0.7285140950802691
2588,9,190,f_classif,KNN,0.9800399201596807,0.9808719670992261,0.9775402046109404,0.9791350460889201
2589,9,190,f_classif,RandomForest,0.9853626081170991,0.9855680598230482,0.9839181556238494,0.984725327518986
2590,9,190,f_classif,LogisticRegression,0.9760479041916168,0.9779309366377813,0.9722709010481423,0.9749031525514293
2591,9,190,f_classif,DecisionTree,0.9767132401862941,0.9753727467605655,0.9761567011374244,0.9757603544365625
2592,9,190,f_classif,SimpleLogistic,0.9560878243512974,0.9578242128935532,0.9506439747501392,0.9539059886249581
2593,9,190,f_classif,JRIP,0.8995342648037259,0.8949193327669981,0.9099117878185286,0.8977962192981785
2594,9,190,f_classif,SMO-PolyKernel,0.9773785761809713,0.9786911345734876,0.9742124175893098,0.9763254452124603
2595,9,190,f_classif,SMO-NormalizedPolyKernel,0.9740518962075848,0.9759900250308216,0.9700526838122715,0.9728036375024649
2596,9,190,f_classif,SMO-Puk,0.9793745841650033,0.9819451977929486,0.9753201427037717,0.9783694121677802
2597,9,190,f_classif,SMO-RBFKernel,0.9700598802395209,0.9727846059792291,0.9650610032798256,0.9685626968172258
2598,9,190,f_classif,AdaBoostM1,0.914836992681304,0.9136470179216293,0.9082248359164881,0.9107134238030705
2599,9,190,f_classif,RandomCommittee,0.9880239520958084,0.9870115407977323,0.9880788117365367,0.9875373134328358
2600,0,210,chi2,NaiveBayes,0.71875,0.7698853376670278,0.7763138890654158,0.7186304623284263
2601,0,210,chi2,KNN,0.9767287234042553,0.9768344646869922,0.9723799730010264,0.9745397296780949
2602,0,210,chi2,RandomForest,0.9886968085106383,0.9895522851465475,0.9858274646192124,0.9876441010102475
2603,0,210,chi2,LogisticRegression,0.973404255319149,0.9721733509076516,0.9697946575925466,0.9709641298891849
2604,0,210,chi2,DecisionTree,0.9827127659574468,0.9811738968839487,0.9811738968839487,0.9811738968839487
2605,0,210,chi2,SimpleLogistic,0.9667553191489362,0.966481699128567,0.9608977062426942,0.963581418774941
2606,0,210,chi2,JRIP,0.8996010638297872,0.887442754687635,0.9144708335981235,0.8949949394093095
2607,0,210,chi2,SMO-PolyKernel,0.9740691489361702,0.9719455408905884,0.9715538275185401,0.9717491348606024
2608,0,210,chi2,SMO-NormalizedPolyKernel,0.9720744680851063,0.9715136954507758,0.9675184245848572,0.9694606887589343
2609,0,210,chi2,SMO-Puk,0.9800531914893617,0.9824997697338123,0.9741372171799745,0.9780919400480501
2610,0,210,chi2,SMO-RBFKernel,0.9727393617021277,0.9728657111699641,0.9676214520517872,0.9701495860859428
2611,0,210,chi2,AdaBoostM1,0.9288563829787234,0.924540426857766,0.9198321133725801,0.9220977002730705
2612,0,210,chi2,RandomCommittee,0.9867021276595744,0.9871494353157869,0.9838622397593586,0.9854698063735767
2613,1,210,chi2,NaiveBayes,0.7154255319148937,0.7758128396426269,0.7608338290865353,0.7147349481950243
2614,1,210,chi2,KNN,0.9727393617021277,0.9721144051097876,0.9706838428934936,0.9713867700004686
2615,1,210,chi2,RandomForest,0.9840425531914894,0.9841466476939817,0.9823808385364254,0.9832457000267356
2616,1,210,chi2,LogisticRegression,0.9780585106382979,0.9777060236305368,0.9762585181519803,0.9769698392686699
2617,1,210,chi2,DecisionTree,0.9820478723404256,0.9813244075214183,0.9810362817212551,0.9811798467525641
2618,1,210,chi2,SimpleLogistic,0.9667553191489362,0.9659626312509881,0.9642631439463438,0.9650952083890325
2619,1,210,chi2,JRIP,0.8982712765957447,0.8917007370621687,0.906960560284516,0.8958135154652944
2620,1,210,chi2,SMO-PolyKernel,0.9780585106382979,0.9783024353154282,0.9756617610265705,0.9769416782232381
2621,1,210,chi2,SMO-NormalizedPolyKernel,0.973404255319149,0.9738561359286748,0.9703363523313373,0.9720245900877023
2622,1,210,chi2,SMO-Puk,0.973404255319149,0.9766055158432791,0.9679493238296981,0.9718814909540289
2623,1,210,chi2,SMO-RBFKernel,0.9753989361702128,0.9758060904612629,0.9725760448346223,0.9741307695919394
2624,1,210,chi2,AdaBoostM1,0.9321808510638298,0.9300772195732319,0.9274309976407707,0.9287068638604474
2625,1,210,chi2,RandomCommittee,0.9840425531914894,0.9844527258945549,0.9820824599737203,0.9832354596779737
2626,2,210,chi2,NaiveBayes,0.7194148936170213,0.7671430614978478,0.7828526917697878,0.718733990977337
2627,2,210,chi2,KNN,0.9773936170212766,0.9748536044674979,0.9748536044674979,0.9748536044674979
2628,2,210,chi2,RandomForest,0.9900265957446809,0.9900586598361951,0.9877307069669914,0.9888797260548118
2629,2,210,chi2,LogisticRegression,0.9747340425531915,0.9740954870179522,0.9695446149851588,0.9717610599879835
2630,2,210,chi2,DecisionTree,0.9833776595744681,0.9808673069076985,0.982215180287303,0.9815359623962195
2631,2,210,chi2,SimpleLogistic,0.9667553191489362,0.9679743778938967,0.9578487085524103,0.962624551693426
2632,2,210,chi2,JRIP,0.8829787234042553,0.8701567064978003,0.9069697452511196,0.877430061640588
2633,2,210,chi2,SMO-PolyKernel,0.9820478723404256,0.9820714285714285,0.9779152725405846,0.9799451514114399
2634,2,210,chi2,SMO-NormalizedPolyKernel,0.9714095744680851,0.9715302562137217,0.9646713206381803,0.9679677775813077
2635,2,210,chi2,SMO-Puk,0.9827127659574468,0.9850577129070687,0.9765393414020531,0.9806031746031746
